Bills Of Matirials,,,,,
Name,Description,Unit Price,Quantity,Total Price,Link
Stepper Motors,Nema 17 Stepper motor 17hs8401s Usongshine 48mm (Black) ,825,5,4125,https://www.amazon.eg/-/en/gp/product/B0969CFKLM/ref=ox_sc_act_title_1?smid=A26I4OU0GDWZ7W&psc=1
Linear Rods,"Stainless Steel Linear Rod (8mm, 1m)",260,3,780,https://www.amazon.eg/-/en/gp/product/B09Z3QJF1P/ref=ox_sc_act_title_2?smid=A3G2ZVUBEERR0N&psc=1
 Pulleys ,GT2 Timing Pulley 20 teeth Bore 5mm 2 Pcs ,149,2,298,https://www.amazon.eg/-/en/gp/product/B0969JNT3G/ref=ox_sc_act_title_2?smid=A26I4OU0GDWZ7W&psc=1
Remote Extruder,MK8 All-Metal Remote Extruder for 3D Printer Parts - 1.75mm ,350,1,350,https://www.amazon.eg/-/en/gp/product/B0968WV7D8/ref=ox_sc_act_title_4?smid=A26I4OU0GDWZ7W&psc=1
End Stop,3D Printer Mechanical End Stop Switch Module ,89.99,3,269.9,https://www.amazon.eg/-/en/gp/product/B0968R6TJ8/ref=ox_sc_act_title_5?smid=A1G5VPUVPXBMQ6&psc=1
Motors Couplers,3D Printer and Cnc Stepper Motor Flexible Coupling Coupler (5 to 8mm),105,2,210,https://www.amazon.eg/-/en/gp/product/B0968ZBB2J/ref=ox_sc_act_title_6?smid=A26I4OU0GDWZ7W&psc=1
T8 Lead Screw,"T8 Thread Lead Screw 8mm, 2mm with Brass Nut (500mm) ",295,2,590,https://www.amazon.eg/-/en/gp/product/B0969HF39S/ref=ox_sc_act_title_7?smid=A22MDF17B7GE04&psc=1
Linear Bearings,"Linear Bearings 3D Printer, LM8UU, 8mm, 6 Pieces ",249,2,498,https://www.amazon.eg/-/en/gp/product/B0968Y5C94/ref=ox_sc_act_title_8?smid=A3HOVOH12T9VII&psc=1
Timing Belt,adp GT2 Timing belt 2mm pitch 6mm wide Rubber Opening Timing Belt For 3D Printer - 2M ,275,1,275,https://www.amazon.eg/-/en/gp/product/B099DC5JK5/ref=ox_sc_act_title_9?smid=A26I4OU0GDWZ7W&psc=1
Hot End,CUHAWUDBA 3D Full Metal J-Head CR10 Hotend Extruder Kit Hot End Kit for CR10 10S Bowden Extruder 24V 40W 3D Printer Parts ,610,1,610,https://www.amazon.eg/-/en/gp/product/B082WQVCKT/ref=ox_sc_act_title_10?smid=A3HOVOH12T9VII&psc=1
Power Supply,Power Supply 24V 10A.,595,1,595,https://www.amazon.eg/-/en/gp/product/B0DR633KMW/ref=ox_sc_act_title_11?smid=A2DMKAT7ZKLGQN&psc=1
SKR 1.4,SKR V1.4 TURBO,"2,999.00",1,"2,999.00",https://www.amazon.eg/-/en/gp/product/B09BMGXJ8S/ref=ox_sc_act_title_12?smid=A3HOVOH12T9VII&psc=1
Stepper Motors Drivers,TMC2209 V2 Stepper Motor Driver ,480,4,1920,https://www.amazon.eg/-/en/gp/product/B0DJZL2XPQ/ref=ox_sc_act_title_15?smid=ANKKSL5YJGFAH&psc=1
Heated Bed,Aluminum Heated Bed for 3D Printer (400x200x3mm) ,500,2,1000,https://www.amazon.eg/-/en/gp/product/B099D8ZBVM/ref=ox_sc_act_title_1?smid=A2TUHD4CZOFOST&psc=1
Bed Leveling Screws,3D Printer Bed Leveling M3 Screw with Spring and Hand Knob 5 Pieces,155,1,155,https://www.amazon.eg/-/en/gp/product/B0968XHW56/ref=ewc_pr_img_1?smid=A22MDF17B7GE04&psc=1
PLA Filament,"FUTURE ERA 3D Printing Filament 1.75mm | 1Kg Roll (RED, PLA) ",741.5,1,741.5,https://www.amazon.eg/-/en/gp/product/B0F5X34KG2/ref=ewc_pr_img_1?smid=A3TF4AIIHFQJ8B&th=1
Cooling Fan,"3D 4010 Brushless Cooling Fan, 24v DC with Ball Bearing 2pin Connector ",90,1,90,https://www.amazon.eg/-/en/gp/product/B0DJ9R2ZJ3/ref=ewc_pr_img_1?smid=A2DMKAT7ZKLGQN&psc=1
Thermistors,100K Ohm NTC 3950 Thermistors Temperature Sensor with Cable Dupont Head for Reprap Mendel MK2A MK2B Heated Bed 3D Printers Parts ,100,3,300,https://www.amazon.eg/-/en/gp/product/B09MSPWTM5/ref=ewc_pr_img_1?smid=A26I4OU0GDWZ7W&psc=1
5mm Bearings,uxcell 625-2RS Deep Groove Ball Bearing 5x16x5mm Double Sealed ABEC-3 Bearings 10-Pack,216,1,216,https://www.amazon.eg/-/en/gp/product/B07TML6YP4/ref=ox_sc_act_title_1?smid=A24L91U83A8RCR&psc=1
,,,,,
,,,,,
Total,,,,16022.4,
Total In USD (According to the conversion rate at 14/6/2025),,,,322.33$,
